,MK887363.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A1_EveS,MK887364.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A2_EveS,MK887365.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A5_EveS,MK887445.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L6_EveS,MK887443.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L2_EveS,MK887444.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L3_EveS,MK887447.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L8_EveS,MK887514.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb16_EveS,MK887428.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D2_EveE,MK887430.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D4_EveE,MK887431.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D5_EveE,MK887549.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN5_EveE,MK887563.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB5_EveE,MK887560.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB2_EveE,MK887545.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN1_EveE,MK887562.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB4_EveE,MK887561.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB3_EveE,MK887547.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN3_EveE,MK887546.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN2_EveE,MK887432.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D6_EveE,MK887550.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN6_EveE,MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE,MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE,MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE,MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW,MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW,MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,MK887511.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,MK887368.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A12_EveS,MK887515.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb18_EveS,MK887513.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb15_EveS,MK887448.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L9_EveS
MK887548.1_Eulimnogammarus_verrucosus_voucher_Eve_Svyatoy_Nos_SN4_EveE,0.2219614277,0.2219614277,0.2128206033,0.2128206033,0.2128206033,0.2173347017,0.2150397503,0.2182361109,0.0107884216,0.0129707335,0.0151150936,0.0107948069,0.0086550454,0.0173736049,0.0151816194,0.0129480987,0.0152013635,0.0129820573,0.0131189200,0.0065174307,0.0086516194,0,0.0086442112,0.0424887597,0.0450385287,0.2226442577,0.2247768852,0.2247768852,0.2247768852,0.2247768852,0.2247768852,0.2268820828,0.2313185344,0.2356270969,0.2356270969,0.2292363271,0.2292363271,0.2313232646,0.2205266464,0.2205266464,0.2226413743,0.2247798107,0.2162622319,0.2241943212,0.2219614277,0.2219614277,0.2219614277,0.2219614277,0.2219614277,0.2219614277,0.2219614277,0.2219614277,0.2219614277,
MK887564.1_Eulimnogammarus_verrucosus_voucher_Eve_UstBarguzin_UB6_EveE,0.2133213125,0.2133213125,0.2041804881,0.2041804881,0.2041804881,0.2086945865,0.2063996351,0.2095959957,0.0064038254,0.0085861373,0.0107304974,0.0064102107,0.0042704492,0.0129890087,0.0107970232,0.0085635025,0.0108167673,0.0085974611,0.0087343238,0.0021328345,0.0042670232,0.0086442112,0,0.0338486445,0.0363984135,0.2140041425,0.2161367700,0.2161367700,0.2161367700,0.2161367700,0.2161367700,0.2182419676,0.2226784192,0.2269869817,0.2269869817,0.2205962119,0.2205962119,0.2226831494,0.2118865312,0.2118865312,0.2140012591,0.2161396955,0.2076221167,0.2155542060,0.2133213125,0.2133213125,0.2133213125,0.2133213125,0.2133213125,0.2133213125,0.2133213125,0.2133213125,0.2133213125,
MK887427.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D1_EveE,0.1882558888,0.1882558888,0.1791150644,0.1791150644,0.1791150644,0.1836291628,0.1813342114,0.1845305720,0.0402483739,0.0424306858,0.0445750459,0.0402547592,0.0381149977,0.0468335572,0.0446415717,0.0424080510,0.0446613158,0.0424420096,0.0425788723,0.0359773830,0.0381115717,0.0424887597,0.0338486445,0,0.0113329898,0.1889387188,0.1910713463,0.1910713463,0.1910713463,0.1910713463,0.1910713463,0.1931765439,0.1976129955,0.2019215580,0.2019215580,0.1955307882,0.1955307882,0.1976177257,0.1868211075,0.1868211075,0.1889358354,0.1910742718,0.1825566930,0.1904887823,0.1882558888,0.1882558888,0.1882558888,0.1882558888,0.1882558888,0.1882558888,0.1882558888,0.1882558888,0.1882558888,
MK887429.1_Eulimnogammarus_verrucosus_voucher_Eve_Davsha_D3_EveE,0.1769275658,0.1769275658,0.1677867414,0.1677867414,0.1677867414,0.1723008398,0.1700058884,0.1732022490,0.0427981429,0.0449804548,0.0471248149,0.0428045282,0.0406647667,0.0493833262,0.0471913407,0.0449578200,0.0472110848,0.0449917786,0.0451286413,0.0385271520,0.0406613407,0.0450385287,0.0363984135,0.0113329898,0,0.1776103958,0.1797430233,0.1797430233,0.1797430233,0.1797430233,0.1797430233,0.1818482209,0.1862846725,0.1905932350,0.1905932350,0.1842024652,0.1842024652,0.1862894027,0.1754927845,0.1754927845,0.1776075124,0.1797459488,0.1712283700,0.1791604593,0.1769275658,0.1769275658,0.1769275658,0.1769275658,0.1769275658,0.1769275658,0.1769275658,0.1769275658,0.1769275658,
MK887455.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y4_EveW,0.1944320924,0.1944320924,0.1852912680,0.1852912680,0.1852912680,0.1898053664,0.1875104150,0.1907067756,0.2204038719,0.2225861838,0.2247305439,0.2204102572,0.2182704957,0.2269890552,0.2247970697,0.2225635490,0.2248168138,0.2225975076,0.2227343703,0.2161328810,0.2182670697,0.2226442577,0.2140041425,0.1889387188,0.1776103958,0,0.0063698681,0.0063698681,0.0063698681,0.0063698681,0.0063698681,0.0084750657,0.0129115173,0.0172200798,0.0172200798,0.0108293100,0.0108293100,0.0129162475,0.0021216473,0.0021216473,0.0042383932,0.0063788476,0.0063868274,0.1966649859,0.1944320924,0.1944320924,0.1944320924,0.1944320924,0.1944320924,0.1944320924,0.1944320924,0.1944320924,0.1944320924,
MK887416.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU7_EveW,0.1965647199,0.1965647199,0.1874238955,0.1874238955,0.1874238955,0.1919379939,0.1896430425,0.1928394031,0.2225364994,0.2247188113,0.2268631714,0.2225428847,0.2204031232,0.2291216827,0.2269296972,0.2246961765,0.2269494413,0.2247301351,0.2248669978,0.2182655085,0.2203996972,0.2247768852,0.2161367700,0.1910713463,0.1797430233,0.0063698681,0,0.0,0.0,0.0,0.000002018,0.0021092336,0.0106436450,0.0149522075,0.0149522075,0.0085614377,0.0085614377,0.0106483752,0.0042542748,0.0042542748,0.0063710207,0.0085114751,0.0085194549,0.1987976134,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,
MK887420.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU11_EveW,0.1965647199,0.1965647199,0.1874238955,0.1874238955,0.1874238955,0.1919379939,0.1896430425,0.1928394031,0.2225364994,0.2247188113,0.2268631714,0.2225428847,0.2204031232,0.2291216827,0.2269296972,0.2246961765,0.2269494413,0.2247301351,0.2248669978,0.2182655085,0.2203996972,0.2247768852,0.2161367700,0.1910713463,0.1797430233,0.0063698681,0.0,0,0.0,0.0,0.000002018,0.0021092336,0.0106436450,0.0149522075,0.0149522075,0.0085614377,0.0085614377,0.0106483752,0.0042542748,0.0042542748,0.0063710207,0.0085114751,0.0085194549,0.1987976134,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,
MK887419.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU10_EveW,0.1965647199,0.1965647199,0.1874238955,0.1874238955,0.1874238955,0.1919379939,0.1896430425,0.1928394031,0.2225364994,0.2247188113,0.2268631714,0.2225428847,0.2204031232,0.2291216827,0.2269296972,0.2246961765,0.2269494413,0.2247301351,0.2248669978,0.2182655085,0.2203996972,0.2247768852,0.2161367700,0.1910713463,0.1797430233,0.0063698681,0.0,0.0,0,0.0,0.000002018,0.0021092336,0.0106436450,0.0149522075,0.0149522075,0.0085614377,0.0085614377,0.0106483752,0.0042542748,0.0042542748,0.0063710207,0.0085114751,0.0085194549,0.1987976134,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,
MK887418.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU9_EveW,0.1965647199,0.1965647199,0.1874238955,0.1874238955,0.1874238955,0.1919379939,0.1896430425,0.1928394031,0.2225364994,0.2247188113,0.2268631714,0.2225428847,0.2204031232,0.2291216827,0.2269296972,0.2246961765,0.2269494413,0.2247301351,0.2248669978,0.2182655085,0.2203996972,0.2247768852,0.2161367700,0.1910713463,0.1797430233,0.0063698681,0.0,0.0,0.0,0,0.000002018,0.0021092336,0.0106436450,0.0149522075,0.0149522075,0.0085614377,0.0085614377,0.0106483752,0.0042542748,0.0042542748,0.0063710207,0.0085114751,0.0085194549,0.1987976134,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,
MK887417.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU8_EveW,0.1965647199,0.1965647199,0.1874238955,0.1874238955,0.1874238955,0.1919379939,0.1896430425,0.1928394031,0.2225364994,0.2247188113,0.2268631714,0.2225428847,0.2204031232,0.2291216827,0.2269296972,0.2246961765,0.2269494413,0.2247301351,0.2248669978,0.2182655085,0.2203996972,0.2247768852,0.2161367700,0.1910713463,0.1797430233,0.0063698681,0.000002018,0.000002018,0.000002018,0.000002018,0,0.0021092336,0.0106436450,0.0149522075,0.0149522075,0.0085614377,0.0085614377,0.0106483752,0.0042542748,0.0042542748,0.0063710207,0.0085114751,0.0085194549,0.1987976134,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,
MK887421.1_Eulimnogammarus_verrucosus_voucher_Eve_Bolshoy_Ushkaniy_BU12_EveW,0.1986699175,0.1986699175,0.1895290931,0.1895290931,0.1895290931,0.1940431915,0.1917482401,0.1949446007,0.2246416970,0.2268240089,0.2289683690,0.2246480823,0.2225083208,0.2312268803,0.2290348948,0.2268013741,0.2290546389,0.2268353327,0.2269721954,0.2203707061,0.2225048948,0.2268820828,0.2182419676,0.1931765439,0.1818482209,0.0084750657,0.0021092336,0.0021092336,0.0021092336,0.0021092336,0.0021092336,0,0.0127488426,0.0170574051,0.0170574051,0.0106666353,0.0106666353,0.0127535728,0.0063594724,0.0063594724,0.0084762183,0.0106166727,0.0106246525,0.2009028110,0.1986699175,0.1986699175,0.1986699175,0.1986699175,0.1986699175,0.1986699175,0.1986699175,0.1986699175,0.1986699175,
MK887374.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B1_EveW,0.2031063691,0.2031063691,0.1939655447,0.1939655447,0.1939655447,0.1984796431,0.1961846917,0.1993810523,0.2290781486,0.2312604605,0.2334048206,0.2290845339,0.2269447724,0.2356633319,0.2334713464,0.2312378257,0.2334910905,0.2312717843,0.2314086470,0.2248071577,0.2269413464,0.2313185344,0.2226784192,0.1976129955,0.1862846725,0.0129115173,0.0106436450,0.0106436450,0.0106436450,0.0106436450,0.0106436450,0.0127488426,0,0.0084749951,0.0084749951,0.0020862433,0.0020862433,0.0041751988,0.0107959240,0.0107959240,0.0129126699,0.0150531243,0.0150611041,0.2053392626,0.2031063691,0.2031063691,0.2031063691,0.2031063691,0.2031063691,0.2031063691,0.2031063691,0.2031063691,0.2031063691,
MK887379.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B6_EveW,0.2074149316,0.2074149316,0.1982741072,0.1982741072,0.1982741072,0.2027882056,0.2004932542,0.2036896148,0.2333867111,0.2355690230,0.2377133831,0.2333930964,0.2312533349,0.2399718944,0.2377799089,0.2355463882,0.2377996530,0.2355803468,0.2357172095,0.2291157202,0.2312499089,0.2356270969,0.2269869817,0.2019215580,0.1905932350,0.0172200798,0.0149522075,0.0149522075,0.0149522075,0.0149522075,0.0149522075,0.0170574051,0.0084749951,0,0.000002018,0.0063948058,0.0063948058,0.0084837613,0.0151044865,0.0151044865,0.0172212324,0.0193616868,0.0193696666,0.2096478251,0.2074149316,0.2074149316,0.2074149316,0.2074149316,0.2074149316,0.2074149316,0.2074149316,0.2074149316,0.2074149316,
MK887381.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B8_EveW,0.2074149316,0.2074149316,0.1982741072,0.1982741072,0.1982741072,0.2027882056,0.2004932542,0.2036896148,0.2333867111,0.2355690230,0.2377133831,0.2333930964,0.2312533349,0.2399718944,0.2377799089,0.2355463882,0.2377996530,0.2355803468,0.2357172095,0.2291157202,0.2312499089,0.2356270969,0.2269869817,0.2019215580,0.1905932350,0.0172200798,0.0149522075,0.0149522075,0.0149522075,0.0149522075,0.0149522075,0.0170574051,0.0084749951,0.000002018,0,0.0063948058,0.0063948058,0.0084837613,0.0151044865,0.0151044865,0.0172212324,0.0193616868,0.0193696666,0.2096478251,0.2074149316,0.2074149316,0.2074149316,0.2074149316,0.2074149316,0.2074149316,0.2074149316,0.2074149316,0.2074149316,
MK887375.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B2_EveW,0.2010241618,0.2010241618,0.1918833374,0.1918833374,0.1918833374,0.1963974358,0.1941024844,0.1972988450,0.2269959413,0.2291782532,0.2313226133,0.2270023266,0.2248625651,0.2335811246,0.2313891391,0.2291556184,0.2314088832,0.2291895770,0.2293264397,0.2227249504,0.2248591391,0.2292363271,0.2205962119,0.1955307882,0.1842024652,0.0108293100,0.0085614377,0.0085614377,0.0085614377,0.0085614377,0.0085614377,0.0106666353,0.0020862433,0.0063948058,0.0063948058,0,0.000002018,0.0020929915,0.0087137167,0.0087137167,0.0108304626,0.0129709170,0.0129788968,0.2032570553,0.2010241618,0.2010241618,0.2010241618,0.2010241618,0.2010241618,0.2010241618,0.2010241618,0.2010241618,0.2010241618,
MK887378.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B5_EveW,0.2010241618,0.2010241618,0.1918833374,0.1918833374,0.1918833374,0.1963974358,0.1941024844,0.1972988450,0.2269959413,0.2291782532,0.2313226133,0.2270023266,0.2248625651,0.2335811246,0.2313891391,0.2291556184,0.2314088832,0.2291895770,0.2293264397,0.2227249504,0.2248591391,0.2292363271,0.2205962119,0.1955307882,0.1842024652,0.0108293100,0.0085614377,0.0085614377,0.0085614377,0.0085614377,0.0085614377,0.0106666353,0.0020862433,0.0063948058,0.0063948058,0.000002018,0,0.0020929915,0.0087137167,0.0087137167,0.0108304626,0.0129709170,0.0129788968,0.2032570553,0.2010241618,0.2010241618,0.2010241618,0.2010241618,0.2010241618,0.2010241618,0.2010241618,0.2010241618,0.2010241618,
MK887380.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalskoe_B7_EveW,0.2031110993,0.2031110993,0.1939702749,0.1939702749,0.1939702749,0.1984843733,0.1961894219,0.1993857825,0.2290828788,0.2312651907,0.2334095508,0.2290892641,0.2269495026,0.2356680621,0.2334760766,0.2312425559,0.2334958207,0.2312765145,0.2314133772,0.2248118879,0.2269460766,0.2313232646,0.2226831494,0.1976177257,0.1862894027,0.0129162475,0.0106483752,0.0106483752,0.0106483752,0.0106483752,0.0106483752,0.0127535728,0.0041751988,0.0084837613,0.0084837613,0.0020929915,0.0020929915,0,0.0108006542,0.0108006542,0.0129174001,0.0150578545,0.0150658343,0.2053439928,0.2031110993,0.2031110993,0.2031110993,0.2031110993,0.2031110993,0.2031110993,0.2031110993,0.2031110993,0.2031110993,
MK887457.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y11_EveW,0.1923144811,0.1923144811,0.1831736567,0.1831736567,0.1831736567,0.1876877551,0.1853928037,0.1885891643,0.2182862606,0.2204685725,0.2226129326,0.2182926459,0.2161528844,0.2248714439,0.2226794584,0.2204459377,0.2226992025,0.2204798963,0.2206167590,0.2140152697,0.2161494584,0.2205266464,0.2118865312,0.1868211075,0.1754927845,0.0021216473,0.0042542748,0.0042542748,0.0042542748,0.0042542748,0.0042542748,0.0063594724,0.0107959240,0.0151044865,0.0151044865,0.0087137167,0.0087137167,0.0108006542,0,0.000002018,0.0021207819,0.0042612363,0.0042692161,0.1945473746,0.1923144811,0.1923144811,0.1923144811,0.1923144811,0.1923144811,0.1923144811,0.1923144811,0.1923144811,0.1923144811,
MK887458.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y12_EveW,0.1923144811,0.1923144811,0.1831736567,0.1831736567,0.1831736567,0.1876877551,0.1853928037,0.1885891643,0.2182862606,0.2204685725,0.2226129326,0.2182926459,0.2161528844,0.2248714439,0.2226794584,0.2204459377,0.2226992025,0.2204798963,0.2206167590,0.2140152697,0.2161494584,0.2205266464,0.2118865312,0.1868211075,0.1754927845,0.0021216473,0.0042542748,0.0042542748,0.0042542748,0.0042542748,0.0042542748,0.0063594724,0.0107959240,0.0151044865,0.0151044865,0.0087137167,0.0087137167,0.0108006542,0.000002018,0,0.0021207819,0.0042612363,0.0042692161,0.1945473746,0.1923144811,0.1923144811,0.1923144811,0.1923144811,0.1923144811,0.1923144811,0.1923144811,0.1923144811,0.1923144811,
MK887460.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y14_EveW,0.1944292090,0.1944292090,0.1852883846,0.1852883846,0.1852883846,0.1898024830,0.1875075316,0.1907038922,0.2204009885,0.2225833004,0.2247276605,0.2204073738,0.2182676123,0.2269861718,0.2247941863,0.2225606656,0.2248139304,0.2225946242,0.2227314869,0.2161299976,0.2182641863,0.2226413743,0.2140012591,0.1889358354,0.1776075124,0.0042383932,0.0063710207,0.0063710207,0.0063710207,0.0063710207,0.0063710207,0.0084762183,0.0129126699,0.0172212324,0.0172212324,0.0108304626,0.0108304626,0.0129174001,0.0021207819,0.0021207819,0,0.0063759642,0.0063839440,0.1966621025,0.1944292090,0.1944292090,0.1944292090,0.1944292090,0.1944292090,0.1944292090,0.1944292090,0.1944292090,0.1944292090,
MK887459.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y13_EveW,0.1965676454,0.1965676454,0.1874268210,0.1874268210,0.1874268210,0.1919409194,0.1896459680,0.1928423286,0.2225394249,0.2247217368,0.2268660969,0.2225458102,0.2204060487,0.2291246082,0.2269326227,0.2246991020,0.2269523668,0.2247330606,0.2248699233,0.2182684340,0.2204026227,0.2247798107,0.2161396955,0.1910742718,0.1797459488,0.0063788476,0.0085114751,0.0085114751,0.0085114751,0.0085114751,0.0085114751,0.0106166727,0.0150531243,0.0193616868,0.0193616868,0.0129709170,0.0129709170,0.0150578545,0.0042612363,0.0042612363,0.0063759642,0,0.0085223804,0.1988005389,0.1965676454,0.1965676454,0.1965676454,0.1965676454,0.1965676454,0.1965676454,0.1965676454,0.1965676454,0.1965676454,
MK887456.1_Eulimnogammarus_verrucosus_voucher_Eve_Listvyanka_Y9_EveW,0.1880500666,0.1880500666,0.1789092422,0.1789092422,0.1789092422,0.1834233406,0.1811283892,0.1843247498,0.2140218461,0.2162041580,0.2183485181,0.2140282314,0.2118884699,0.2206070294,0.2184150439,0.2161815232,0.2184347880,0.2162154818,0.2163523445,0.2097508552,0.2118850439,0.2162622319,0.2076221167,0.1825566930,0.1712283700,0.0063868274,0.0085194549,0.0085194549,0.0085194549,0.0085194549,0.0085194549,0.0106246525,0.0150611041,0.0193696666,0.0193696666,0.0129788968,0.0129788968,0.0150658343,0.0042692161,0.0042692161,0.0063839440,0.0085223804,0,0.1902829601,0.1880500666,0.1880500666,0.1880500666,0.1880500666,0.1880500666,0.1880500666,0.1880500666,0.1880500666,0.1880500666,
MK887366.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A7_EveS,0.0022369295,0.0022369295,0.0113797719,0.0113797719,0.0113797719,0.0158938703,0.0135989189,0.0205664003,0.2219539354,0.2241362473,0.2262806074,0.2219603207,0.2198205592,0.2285391187,0.2263471332,0.2241136125,0.2263668773,0.2241475711,0.2242844338,0.2176829445,0.2198171332,0.2241943212,0.2155542060,0.1904887823,0.1791604593,0.1966649859,0.1987976134,0.1987976134,0.1987976134,0.1987976134,0.1987976134,0.2009028110,0.2053392626,0.2096478251,0.2096478251,0.2032570553,0.2032570553,0.2053439928,0.1945473746,0.1945473746,0.1966621025,0.1988005389,0.1902829601,0,0.0022369295,0.0022369295,0.0022369295,0.0022369295,0.0022369295,0.0022369295,0.0022369295,0.0022369295,0.0022369295,
MK887446.1_Eulimnogammarus_verrucosus_voucher_Eve_Kultuk_L7_EveS,0.0,0.000002018,0.0091468784,0.0091468784,0.0091468784,0.0136609768,0.0113660254,0.0183335068,0.2197210419,0.2219033538,0.2240477139,0.2197274272,0.2175876657,0.2263062252,0.2241142397,0.2218807190,0.2241339838,0.2219146776,0.2220515403,0.2154500510,0.2175842397,0.2219614277,0.2133213125,0.1882558888,0.1769275658,0.1944320924,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1986699175,0.2031063691,0.2074149316,0.2074149316,0.2010241618,0.2010241618,0.2031110993,0.1923144811,0.1923144811,0.1944292090,0.1965676454,0.1880500666,0.0022369295,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MK887516.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb19_EveS,0.0,0.000002018,0.0091468784,0.0091468784,0.0091468784,0.0136609768,0.0113660254,0.0183335068,0.2197210419,0.2219033538,0.2240477139,0.2197274272,0.2175876657,0.2263062252,0.2241142397,0.2218807190,0.2241339838,0.2219146776,0.2220515403,0.2154500510,0.2175842397,0.2219614277,0.2133213125,0.1882558888,0.1769275658,0.1944320924,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1986699175,0.2031063691,0.2074149316,0.2074149316,0.2010241618,0.2010241618,0.2031110993,0.1923144811,0.1923144811,0.1944292090,0.1965676454,0.1880500666,0.0022369295,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MK887512.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb14_EveS,0.0,0.000002018,0.0091468784,0.0091468784,0.0091468784,0.0136609768,0.0113660254,0.0183335068,0.2197210419,0.2219033538,0.2240477139,0.2197274272,0.2175876657,0.2263062252,0.2241142397,0.2218807190,0.2241339838,0.2219146776,0.2220515403,0.2154500510,0.2175842397,0.2219614277,0.2133213125,0.1882558888,0.1769275658,0.1944320924,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1986699175,0.2031063691,0.2074149316,0.2074149316,0.2010241618,0.2010241618,0.2031110993,0.1923144811,0.1923144811,0.1944292090,0.1965676454,0.1880500666,0.0022369295,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
MK887367.1_Eulimnogammarus_verrucosus_voucher_Eve_Baikalsk_A10_EveS,0.0,0.000002018,0.0091468784,0.0091468784,0.0091468784,0.0136609768,0.0113660254,0.0183335068,0.2197210419,0.2219033538,0.2240477139,0.2197274272,0.2175876657,0.2263062252,0.2241142397,0.2218807190,0.2241339838,0.2219146776,0.2220515403,0.2154500510,0.2175842397,0.2219614277,0.2133213125,0.1882558888,0.1769275658,0.1944320924,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1986699175,0.2031063691,0.2074149316,0.2074149316,0.2010241618,0.2010241618,0.2031110993,0.1923144811,0.1923144811,0.1944292090,0.1965676454,0.1880500666,0.0022369295,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,
MK887511.1_Eulimnogammarus_verrucosus_voucher_Eve_Port_Baikal_Pb9_EveS,0.0,0.000002018,0.0091468784,0.0091468784,0.0091468784,0.0136609768,0.0113660254,0.0183335068,0.2197210419,0.2219033538,0.2240477139,0.2197274272,0.2175876657,0.2263062252,0.2241142397,0.2218807190,0.2241339838,0.2219146776,0.2220515403,0.2154500510,0.2175842397,0.2219614277,0.2133213125,0.1882558888,0.1769275658,0.1944320924,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1965647199,0.1986699175,0.2031063691,0.2074149316,0.2074149316,0.2010241618,0.2010241618,0.2031110993,0.1923144811,0.1923144811,0.1944292090,0.1965676454,0.1880500666,0.0022369295,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,
